Date,Close,High,Low,Open,Volume
2025-09-15,121.0500030517578,125.5500030517578,121.0500030517578,124.0,810660
2025-09-16,123.0500030517578,124.6999969482422,121.9499969482422,122.0,621878
2025-09-17,123.1500015258789,124.1999969482422,121.4499969482422,124.0500030517578,397389
2025-09-18,127.0500030517578,128.0,124.4499969482422,124.4499969482422,374460
2025-09-19,124.25,126.9499969482422,123.5500030517578,126.9000015258789,1005293
2025-09-22,121.9499969482422,124.0500030517578,120.4499969482422,124.0,406987
2025-09-23,123.5999984741211,125.3499984741211,122.9000015258789,123.1500015258789,361476
2025-09-24,122.25,123.3499984741211,121.25,123.0999984741211,287313
2025-09-25,121.9000015258789,124.1999969482422,119.9000015258789,122.8000030517578,503289
2025-09-26,119.1500015258789,122.0500030517578,117.8499984741211,121.25,458258
2025-09-29,121.3000030517578,121.6500015258789,118.6999969482422,119.5999984741211,312694
2025-09-30,123.5500030517578,123.6500015258789,120.6999969482422,121.4499969482422,522202
2025-10-01,123.5,124.5999984741211,122.3499984741211,122.3499984741211,325178
2025-10-02,124.8499984741211,126.1500015258789,123.9000015258789,124.5,321118
2025-10-03,124.3499984741211,126.0999984741211,123.5500030517578,125.3499984741211,357694
2025-10-06,124.5999984741211,124.6999969482422,120.0500030517578,124.3000030517578,346961
2025-10-07,125.0,126.0500030517578,123.3000030517578,125.4000015258789,391426
2025-10-08,122.0500030517578,125.1500015258789,121.8000030517578,124.1999969482422,635324
2025-10-09,122.0500030517578,122.6500015258789,119.6999969482422,120.5500030517578,669969
2025-10-10,119.6999969482422,123.75,119.6999969482422,122.25,351203
2025-10-13,120.3000030517578,122.1500015258789,119.0999984741211,120.0,261627
2025-10-14,118.9000015258789,120.4000015258789,118.5,119.1500015258789,320758
